TripID	SurveyYear	DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	JourSeq	HowComp_B01ID	SeriesCall_B01ID	ShortWalkTrip_B01ID	NumStages	NumStages_B01ID	MainMode_B03ID	MainMode_B04ID	MainMode_B11ID	TripPurpose_B02ID	TripPurpose_B04ID	TripDisIncSW	TripDisIncSW_B01ID	TripDisExSW	TripDisExSW_B01ID	TripPurpFrom_B01ID	TripPurpTo_B01ID	TripPurpose_B01ID	JJXSC	JOTXSC	JTTXSC	JD	W5	W5xHh	TripStartHours	TripStartMinutes	TripStart	TripStart_B01ID	TripStart_B02ID	TripEndHours	TripEndMinutes	TripEnd	TripEnd_B01ID	TripEnd_B02ID	TripTotalTime	TripTotalTime_B01ID	TripTravTime	TripTravTime_B01ID	TripOrigGOR_B02ID	TripDestGOR_B02ID	TripOrigUA2009_B01ID	TripDestUA2009_B01ID	ShortWalkTrip_ImpBin	TripPurpFrom_ImpBin	TripPurpTo_ImpBin	TripPurpose_ImpBin	TripDis_ImpBin	TripTotalTime_ImpBin	TripTravTime_ImpBin	TripOrigUA2009_ImpBin	TripOrigUA1998_ImpBin	TripDestUA2009_ImpBin	TripDestUA1998_ImpBin	TripOrigCounty_ImpBin	TripDestCounty_ImpBin	TripOrigGOR_ImpBin	TripDestGOR_ImpBin
1	2002	2	1	1	1	1	2	1	2	2	2	1	1	7	4	6	8	7	1	2	1	2	23	10	10	1	8	8	1	.98961800336838	1.0019720757978	11	15	675	12	22	11	23	683	12	22	8	3	8	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2002	2	1	1	1	1	2	2	2	2	2	1	1	8	4	6	7	6	1	2	1	2	10	8	9	1	15	15	1	1.00294530391693	1.0154657500741	12	0	720	13	24	12	15	735	13	24	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2002	2	1	1	1	1	2	3	2	2	2	1	1	8	4	6	8	7	1	2	1	2	8	10	10	1	10	10	1	.98961800336838	1.0019720757978	12	50	770	13	25	13	0	780	14	26	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	2002	2	1	1	1	1	2	4	2	2	2	1	1	27	12	21	8	7	1	2	1	2	10	23	10	1	20	20	1	.98961800336838	1.0019720757978	18	30	1110	19	41	18	50	1130	19	41	20	4	20	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	2002	3	1	1	1	1	3	1	2	2	2	1	1	7	4	6	8	7	1	2	1	2	23	10	10	1	10	10	1	.99989134073257	1.0123736621969	12	40	760	13	25	12	50	770	13	25	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	2002	3	1	1	1	1	3	2	2	2	2	1	1	7	4	6	8	7	2	3	2	3	10	10	10	1	15	15	2	.99989134073257	1.0123736621969	13	10	790	14	26	13	25	805	14	26	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	2002	3	1	1	1	1	3	3	2	2	2	1	1	7	4	6	7	6	2	3	2	3	10	8	9	1	15	15	2	1.06166470050812	1.0749181807006	13	30	810	14	27	13	45	825	14	27	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	2002	3	1	1	1	1	3	4	2	2	2	1	1	7	4	6	7	6	.8	1	.8	1	8	8	9	1	7	7	.8	1.06166470050812	1.0749181807006	14	5	845	15	28	14	12	852	15	28	7	2	7	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	2002	3	1	1	1	1	3	5	2	2	2	1	1	7	4	6	8	7	1	2	1	2	8	10	10	1	8	8	1	.99989134073257	1.0123736621969	14	25	865	15	28	14	33	873	15	29	8	3	8	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	2002	3	1	1	1	1	3	6	2	2	2	1	1	7	4	6	4	3	.8	1	.8	1	10	20	21	1	6	6	.8	1.00631296634674	1.018875453317	15	8	908	16	30	15	14	914	16	30	6	2	6	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	2002	3	1	1	1	1	3	7	2	2	2	1	1	7	4	6	4	3	.5	1	.5	1	20	23	21	1	4	4	.5	1.00631296634674	1.018875453317	15	22	922	16	30	15	26	926	16	30	4	2	4	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	2002	3	1	1	1	1	3	8	2	2	2	1	1	7	4	6	5	4	3	4	3	4	23	5	6	1	15	15	3	1.11187028884888	1.1257505194366	15	40	940	16	31	15	55	955	16	31	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	2002	3	1	1	1	1	3	9	2	2	2	1	1	7	4	6	8	7	.5	1	.5	1	5	10	10	1	17	17	.5	.99989134073257	1.0123736621969	16	55	1015	17	34	17	12	1032	18	35	17	4	17	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	2002	3	1	1	1	1	3	10	2	2	2	1	1	7	4	6	8	7	3	4	3	4	10	23	10	1	28	28	3	.99989134073257	1.0123736621969	18	0	1080	19	39	18	28	1108	19	40	28	4	28	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	2002	5	1	1	1	1	5	1	2	2	2	1	1	7	4	6	9	7	4	4	4	4	23	9	11	1	15	15	4	1.03706002235413	1.050006345669	12	50	770	13	25	13	5	785	14	26	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	2002	5	1	1	1	1	5	2	2	2	2	1	1	7	4	6	9	7	4	4	4	4	9	23	11	1	12	12	4	1.03706002235413	1.050006345669	15	5	905	16	30	15	17	917	16	30	12	3	12	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	2002	6	1	1	1	1	6	1	2	2	2	1	1	5	3	5	6	5	3	4	3	4	23	22	23	1	14	14	3	1.06242978572845	1.0756928169984	12	18	738	13	24	12	32	752	13	25	14	3	14	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	2002	6	1	1	1	1	6	2	2	2	2	1	1	5	3	5	7	6	.5	1	.5	1	22	1	3	1	6	6	.5	1.06242978572845	1.0756928169984	12	35	755	13	25	12	41	761	13	25	6	2	6	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	2002	6	1	1	1	1	6	3	2	2	2	1	1	5	3	5	1	1	3	4	3	4	1	23	1	1	26	26	3	1.01764357089996	1.0303475054883	17	30	1050	18	37	17	56	1076	18	38	26	4	26	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	2002	6	1	1	1	1	6	4	2	2	2	1	1	5	3	5	10	7	.3	1	.3	1	23	12	13	1	3	3	.3	1.06143081188202	1.0746813722843	20	20	1220	21	44	20	23	1223	21	44	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	2002	6	1	1	1	1	6	5	2	2	2	1	1	5	3	5	10	7	.3	1	.3	1	12	23	13	1	5	5	.3	1.06143081188202	1.0746813722843	21	10	1270	22	46	21	15	1275	22	46	5	2	5	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	2002	7	1	1	1	1	7	1	2	2	1	1	1	1	1	1	4	3	.5	1	0	1	23	20	21	7	105	105	3.5	1.10391862714286	1.1176995917468	8	45	525	9	16	9	0	540	10	17	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	2002	7	1	1	1	1	7	2	2	2	1	1	1	1	1	1	4	3	.5	1	0	1	20	23	21	7	70	70	3.5	1.10391862714286	1.1176995917468	9	6	546	10	17	9	16	556	10	18	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	2002	7	1	1	1	1	7	3	2	2	2	1	1	5	3	5	6	5	3	4	3	4	23	22	23	1	15	15	3	1.10139000415802	1.115139402247	12	25	745	13	24	12	40	760	13	25	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	2002	7	1	1	1	1	7	4	2	2	2	1	1	5	3	5	7	6	.5	1	.5	1	22	1	3	1	10	10	.5	1.10139000415802	1.115139402247	12	44	764	13	25	12	54	774	13	25	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	2002	7	1	1	1	1	7	5	2	2	2	1	1	5	3	5	8	7	2.5	3	2.5	3	1	10	10	1	16	16	2.5	1.14534175395966	1.1596398315377	17	40	1060	18	37	17	56	1076	18	38	16	4	16	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	2002	7	1	1	1	1	7	6	2	2	2	1	1	5	3	5	8	7	1	2	1	2	10	23	10	1	17	17	1	1.14534175395966	1.1596398315377	18	30	1110	19	41	18	47	1127	19	41	17	4	17	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	2002	8	2	1	1	2	1	1	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	23	1	1	1	3	3	.5	.98767024278641	1	13	53	833	14	27	13	56	836	14	27	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	2002	8	2	1	1	2	1	2	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	1	23	1	1	5	5	.5	.98767024278641	1	22	0	1320	23	48	22	5	1325	23	48	5	2	5	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	2002	9	2	1	1	2	2	1	2	2	2	1	1	5	3	5	8	7	1	2	1	2	23	10	10	1	8	8	1	.98961800336838	1.0019720757978	11	15	675	12	22	11	23	683	12	22	8	3	8	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	2002	9	2	1	1	2	2	2	2	2	2	1	1	5	3	5	7	6	1	2	1	2	10	8	9	1	15	15	1	1.00294530391693	1.0154657500741	12	0	720	13	24	12	15	735	13	24	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	2002	9	2	1	1	2	2	3	2	2	2	1	1	5	3	5	8	7	1	2	1	2	8	10	10	1	10	10	1	.98961800336838	1.0019720757978	12	50	770	13	25	13	0	780	14	26	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	2002	9	2	1	1	2	2	4	2	2	2	1	1	27	12	21	8	7	1	2	1	2	10	23	10	1	20	20	1	.98961800336838	1.0019720757978	18	30	1110	19	41	18	50	1130	19	41	20	4	20	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	2002	10	2	1	1	2	3	1	2	2	2	1	1	5	3	5	4	3	.5	1	.5	1	23	20	21	1	5	5	.5	1.00631296634674	1.018875453317	8	50	530	9	16	8	55	535	9	16	5	2	5	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	2002	10	2	1	1	2	3	2	2	2	2	1	1	5	3	5	9	7	.5	1	.5	1	20	9	11	1	7	7	.5	.99989134073257	1.0123736621969	21	5	1265	22	46	21	12	1272	22	46	7	2	7	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	2002	10	2	1	1	2	3	3	2	2	2	1	1	5	3	5	9	7	.3	1	.3	1	9	23	11	1	3	3	.3	.99989134073257	1.0123736621969	10	5	605	11	20	10	8	608	11	20	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	2002	10	2	1	1	2	3	4	2	2	2	1	1	2	1	2	7	6	1.5	2	1.5	2	23	8	9	1	55	55	1.5	1.06166470050812	1.0749181807006	10	20	620	11	20	11	15	675	12	22	55	6	55	6	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	2002	10	2	1	1	2	3	5	2	2	2	1	1	5	3	5	7	6	1.5	2	1.5	2	8	23	9	1	15	15	1.5	1.06166470050812	1.0749181807006	11	15	675	12	22	11	30	690	12	23	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	2002	10	2	1	1	2	3	6	2	2	2	1	1	5	3	5	8	7	1	2	1	2	23	10	10	1	10	10	1	.99989134073257	1.0123736621969	12	40	760	13	25	12	50	770	13	25	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	2002	10	2	1	1	2	3	7	2	2	2	1	1	5	3	5	8	7	2	3	2	3	10	10	10	1	15	15	2	.99989134073257	1.0123736621969	13	10	790	14	26	13	25	805	14	26	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	2002	10	2	1	1	2	3	8	2	2	2	1	1	5	3	5	7	6	2	3	2	3	10	8	9	1	15	15	2	1.06166470050812	1.0749181807006	13	30	810	14	27	13	45	825	14	27	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
