uid,pid,hid,seq,hzone,ozone,dzone,purp,mode,tst,tet,freq
0,census_0,census_0,0,Harrow,Harrow,Camden,work,pt,444,473,1000
1,census_0,census_0,1,Harrow,Camden,Harrow,work,pt,890,919,1000
2,census_1,census_1,0,Greenwich,Greenwich,Tower Hamlets,work,pt,507,528,1000
3,census_1,census_1,1,Greenwich,Tower Hamlets,Greenwich,work,pt,1065,1086,1000
4,census_2,census_2,0,Croydon,Croydon,Croydon,work,pt,422,425,1000
5,census_2,census_2,1,Croydon,Croydon,Croydon,work,pt,917,920,1000
6,census_3,census_3,0,Haringey,Haringey,Redbridge,work,pt,428,447,1000
7,census_3,census_3,1,Haringey,Redbridge,Haringey,work,pt,1007,1026,1000
8,census_4,census_4,0,Hounslow,Hounslow,"Westminster,City of London",work,car,483,516,1000
9,census_4,census_4,1,Hounslow,"Westminster,City of London",Hounslow,work,car,1017,1050,1000
10,census_5,census_5,0,"Westminster,City of London","Westminster,City of London",Hammersmith and Fulham,education,car,568,577,1000
11,census_5,census_5,1,"Westminster,City of London",Hammersmith and Fulham,"Westminster,City of London",education,car,1019,1028,1000
12,census_6,census_6,0,Haringey,Haringey,Kensington and Chelsea,work,pt,442,469,1000
13,census_6,census_6,1,Haringey,Kensington and Chelsea,Haringey,work,pt,1012,1039,1000
14,census_7,census_7,0,Ealing,Ealing,Ealing,education,pt,479,484,1000
15,census_7,census_7,1,Ealing,Ealing,Ealing,education,pt,962,967,1000
16,census_8,census_8,0,Lambeth,Lambeth,"Westminster,City of London",work,pt,499,510,1000
17,census_8,census_8,1,Lambeth,"Westminster,City of London",Lambeth,work,pt,999,1010,1000
18,census_9,census_9,0,Croydon,Croydon,Sutton,work,pt,589,594,1000
19,census_9,census_9,1,Croydon,Sutton,Croydon,work,pt,1122,1127,1000
20,census_10,census_10,0,Croydon,Croydon,Croydon,work,pt,421,428,1000
21,census_10,census_10,1,Croydon,Croydon,Croydon,work,pt,961,968,1000
22,census_11,census_11,0,Lewisham,Lewisham,"Westminster,City of London",work,pt,472,495,1000
23,census_11,census_11,1,Lewisham,"Westminster,City of London",Lewisham,work,pt,1014,1037,1000
24,census_12,census_12,0,Croydon,Croydon,Tower Hamlets,education,pt,426,465,1000
25,census_12,census_12,1,Croydon,Tower Hamlets,Croydon,education,pt,954,993,1000
26,census_13,census_13,0,Tower Hamlets,Tower Hamlets,Hackney,work,pt,526,543,1000
27,census_13,census_13,1,Tower Hamlets,Hackney,Tower Hamlets,work,pt,1025,1042,1000
28,census_14,census_14,0,Redbridge,Redbridge,Southwark,education,pt,499,520,1000
29,census_14,census_14,1,Redbridge,Southwark,Redbridge,education,pt,1108,1129,1000
30,census_15,census_15,0,Waltham Forest,Waltham Forest,Redbridge,work,pt,498,503,1000
31,census_15,census_15,1,Waltham Forest,Redbridge,Waltham Forest,work,pt,1051,1056,1000
32,census_16,census_16,0,Ealing,Ealing,Brent,education,pt,517,526,1000
33,census_16,census_16,1,Ealing,Brent,Ealing,education,pt,1030,1039,1000
34,census_17,census_17,0,Redbridge,Redbridge,Lambeth,work,pt,421,450,1000
35,census_17,census_17,1,Redbridge,Lambeth,Redbridge,work,pt,925,954,1000
36,census_18,census_18,0,Haringey,Haringey,"Westminster,City of London",work,pt,428,443,1000
37,census_18,census_18,1,Haringey,"Westminster,City of London",Haringey,work,pt,902,917,1000
38,census_19,census_19,0,Barking and Dagenham,Barking and Dagenham,Camden,work,pt,427,464,1000
39,census_19,census_19,1,Barking and Dagenham,Camden,Barking and Dagenham,work,pt,922,959,1000
40,census_20,census_20,0,Islington,Islington,Camden,work,pt,428,433,1000
41,census_20,census_20,1,Islington,Camden,Islington,work,pt,1065,1070,1000
42,census_21,census_21,0,Islington,Islington,Islington,work,car,530,531,1000
43,census_21,census_21,1,Islington,Islington,Islington,work,car,970,971,1000
44,census_22,census_22,0,Hammersmith and Fulham,Hammersmith and Fulham,Tower Hamlets,work,pt,445,472,1000
45,census_22,census_22,1,Hammersmith and Fulham,Tower Hamlets,Hammersmith and Fulham,work,pt,913,940,1000
46,census_23,census_23,0,Lambeth,Lambeth,Islington,work,car,571,586,1000
47,census_23,census_23,1,Lambeth,Islington,Lambeth,work,car,1076,1091,1000
48,census_24,census_24,0,Merton,Merton,Merton,work,pt,495,504,1000
49,census_24,census_24,1,Merton,Merton,Merton,work,pt,1036,1045,1000
50,census_25,census_25,0,Lambeth,Lambeth,Ealing,work,pt,528,551,1000
51,census_25,census_25,1,Lambeth,Ealing,Lambeth,work,pt,1042,1065,1000
52,census_26,census_26,0,Harrow,Harrow,Harrow,work,pt,556,565,1000
53,census_26,census_26,1,Harrow,Harrow,Harrow,work,pt,1185,1194,1000
54,census_27,census_27,0,Bromley,Bromley,Bromley,education,pt,476,499,1000
55,census_27,census_27,1,Bromley,Bromley,Bromley,education,pt,1078,1101,1000
56,census_28,census_28,0,Croydon,Croydon,"Westminster,City of London",work,pt,526,549,1000
57,census_28,census_28,1,Croydon,"Westminster,City of London",Croydon,work,pt,967,990,1000
58,census_29,census_29,0,Newham,Newham,"Westminster,City of London",work,pt,417,434,1000
59,census_29,census_29,1,Newham,"Westminster,City of London",Newham,work,pt,898,915,1000
60,census_30,census_30,0,Camden,Camden,Camden,work,pt,533,534,1000
61,census_30,census_30,1,Camden,Camden,Camden,work,pt,1024,1025,1000
62,census_31,census_31,0,Lambeth,Lambeth,Islington,work,pt,563,574,1000
63,census_31,census_31,1,Lambeth,Islington,Lambeth,work,pt,1105,1116,1000
64,census_32,census_32,0,Kensington and Chelsea,Kensington and Chelsea,Hammersmith and Fulham,education,pt,523,528,1000
65,census_32,census_32,1,Kensington and Chelsea,Hammersmith and Fulham,Kensington and Chelsea,education,pt,996,1001,1000
66,census_33,census_33,0,Tower Hamlets,Tower Hamlets,"Westminster,City of London",work,car,438,439,1000
67,census_33,census_33,1,Tower Hamlets,"Westminster,City of London",Tower Hamlets,work,car,902,903,1000
68,census_34,census_34,0,Harrow,Harrow,Brent,work,car,453,470,1000
69,census_34,census_34,1,Harrow,Brent,Harrow,work,car,916,933,1000
70,census_35,census_35,0,Tower Hamlets,Tower Hamlets,"Westminster,City of London",work,car,523,546,1000
71,census_35,census_35,1,Tower Hamlets,"Westminster,City of London",Tower Hamlets,work,car,1044,1067,1000
72,census_36,census_36,0,Wandsworth,Wandsworth,"Westminster,City of London",work,pt,458,473,1000
73,census_36,census_36,1,Wandsworth,"Westminster,City of London",Wandsworth,work,pt,1015,1030,1000
74,census_37,census_37,0,Barking and Dagenham,Barking and Dagenham,Redbridge,work,pt,501,516,1000
75,census_37,census_37,1,Barking and Dagenham,Redbridge,Barking and Dagenham,work,pt,1080,1095,1000
76,census_38,census_38,0,Brent,Brent,Ealing,work,pt,471,488,1000
77,census_38,census_38,1,Brent,Ealing,Brent,work,pt,960,977,1000
78,census_39,census_39,0,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,car,601,608,1000
79,census_39,census_39,1,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,car,1202,1209,1000
80,census_40,census_40,0,Ealing,Ealing,"Westminster,City of London",work,pt,445,468,1000
81,census_40,census_40,1,Ealing,"Westminster,City of London",Ealing,work,pt,888,911,1000
82,census_41,census_41,0,Greenwich,Greenwich,Lewisham,education,pt,511,524,1000
83,census_41,census_41,1,Greenwich,Lewisham,Greenwich,education,pt,953,966,1000
84,census_42,census_42,0,Croydon,Croydon,Croydon,work,pt,538,539,1000
85,census_42,census_42,1,Croydon,Croydon,Croydon,work,pt,1001,1002,1000
86,census_43,census_43,0,Wandsworth,Wandsworth,Tower Hamlets,work,car,579,604,1000
87,census_43,census_43,1,Wandsworth,Tower Hamlets,Wandsworth,work,car,1111,1136,1000
88,census_44,census_44,0,Lewisham,Lewisham,Bexley,education,pt,506,531,1000
89,census_44,census_44,1,Lewisham,Bexley,Lewisham,education,pt,1117,1142,1000
90,census_45,census_45,0,Barnet,Barnet,Enfield,work,car,496,517,1000
91,census_45,census_45,1,Barnet,Enfield,Barnet,work,car,1020,1041,1000
92,census_46,census_46,0,Waltham Forest,Waltham Forest,"Westminster,City of London",work,pt,500,517,1000
93,census_46,census_46,1,Waltham Forest,"Westminster,City of London",Waltham Forest,work,pt,1027,1044,1000
94,census_47,census_47,0,Hackney,Hackney,"Westminster,City of London",work,pt,521,530,1000
95,census_47,census_47,1,Hackney,"Westminster,City of London",Hackney,work,pt,1007,1016,1000
96,census_48,census_48,0,Wandsworth,Wandsworth,"Westminster,City of London",work,car,526,543,1000
97,census_48,census_48,1,Wandsworth,"Westminster,City of London",Wandsworth,work,car,980,997,1000
98,census_49,census_49,0,Camden,Camden,Camden,work,pt,482,485,1000
99,census_49,census_49,1,Camden,Camden,Camden,work,pt,1104,1107,1000
100,census_50,census_50,0,Barnet,Barnet,Camden,education,pt,474,495,1000
101,census_50,census_50,1,Barnet,Camden,Barnet,education,pt,1014,1035,1000
102,census_51,census_51,0,Ealing,Ealing,"Westminster,City of London",work,pt,412,443,1000
103,census_51,census_51,1,Ealing,"Westminster,City of London",Ealing,work,pt,911,942,1000
104,census_52,census_52,0,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,work,pt,530,539,1000
105,census_52,census_52,1,Barking and Dagenham,Barking and Dagenham,Barking and Dagenham,work,pt,989,998,1000
106,census_53,census_53,0,Ealing,Ealing,Ealing,work,pt,488,489,1000
107,census_53,census_53,1,Ealing,Ealing,Ealing,work,pt,978,979,1000
108,census_54,census_54,0,Kensington and Chelsea,Kensington and Chelsea,"Westminster,City of London",work,pt,475,486,1000
109,census_54,census_54,1,Kensington and Chelsea,"Westminster,City of London",Kensington and Chelsea,work,pt,1111,1122,1000
110,census_55,census_55,0,Islington,Islington,Islington,work,pt,441,444,1000
111,census_55,census_55,1,Islington,Islington,Islington,work,pt,997,1000,1000
112,census_56,census_56,0,Newham,Newham,Croydon,work,car,519,556,1000
113,census_56,census_56,1,Newham,Croydon,Newham,work,car,964,1001,1000
114,census_57,census_57,0,Barnet,Barnet,"Westminster,City of London",work,pt,517,534,1000
115,census_57,census_57,1,Barnet,"Westminster,City of London",Barnet,work,pt,1084,1101,1000
116,census_58,census_58,0,Enfield,Enfield,Enfield,work,pt,472,475,1000
117,census_58,census_58,1,Enfield,Enfield,Enfield,work,pt,916,919,1000
118,census_59,census_59,0,Wandsworth,Wandsworth,Camden,work,pt,484,499,1000
119,census_59,census_59,1,Wandsworth,Camden,Wandsworth,work,pt,1057,1072,1000
120,census_60,census_60,0,Hackney,Hackney,Hackney,education,car,452,461,1000
121,census_60,census_60,1,Hackney,Hackney,Hackney,education,car,930,939,1000
122,census_61,census_61,0,Redbridge,Redbridge,"Westminster,City of London",work,pt,623,650,1000
123,census_61,census_61,1,Redbridge,"Westminster,City of London",Redbridge,work,pt,1140,1167,1000
124,census_62,census_62,0,Ealing,Ealing,Hounslow,education,pt,476,495,1000
125,census_62,census_62,1,Ealing,Hounslow,Ealing,education,pt,1044,1063,1000
126,census_63,census_63,0,Camden,Camden,Camden,work,pt,524,527,1000
127,census_63,census_63,1,Camden,Camden,Camden,work,pt,1088,1091,1000
128,census_64,census_64,0,Hillingdon,Hillingdon,Ealing,work,pt,417,432,1000
129,census_64,census_64,1,Hillingdon,Ealing,Hillingdon,work,pt,901,916,1000
130,census_65,census_65,0,Bromley,Bromley,Tower Hamlets,work,pt,434,471,1000
131,census_65,census_65,1,Bromley,Tower Hamlets,Bromley,work,pt,903,940,1000
132,census_66,census_66,0,Sutton,Sutton,Croydon,work,pt,422,429,1000
133,census_66,census_66,1,Sutton,Croydon,Sutton,work,pt,1041,1048,1000
134,census_67,census_67,0,Bromley,Bromley,Bromley,education,pt,455,466,1000
135,census_67,census_67,1,Bromley,Bromley,Bromley,education,pt,944,955,1000
136,census_68,census_68,0,Haringey,Haringey,Enfield,education,pt,441,464,1000
137,census_68,census_68,1,Haringey,Enfield,Haringey,education,pt,1063,1086,1000
138,census_69,census_69,0,Southwark,Southwark,Southwark,work,pt,573,580,1000
139,census_69,census_69,1,Southwark,Southwark,Southwark,work,pt,1023,1030,1000
140,census_70,census_70,0,Redbridge,Redbridge,Newham,work,pt,431,444,1000
141,census_70,census_70,1,Redbridge,Newham,Redbridge,work,pt,939,952,1000
142,census_71,census_71,0,Enfield,Enfield,Camden,work,pt,455,476,1000
143,census_71,census_71,1,Enfield,Camden,Enfield,work,pt,945,966,1000
144,census_72,census_72,0,Bromley,Bromley,Tower Hamlets,work,car,428,449,1000
145,census_72,census_72,1,Bromley,Tower Hamlets,Bromley,work,car,1013,1034,1000
146,census_73,census_73,0,Lewisham,Lewisham,Bromley,work,pt,545,560,1000
147,census_73,census_73,1,Lewisham,Bromley,Lewisham,work,pt,1047,1062,1000
148,census_74,census_74,0,Bexley,Bexley,"Westminster,City of London",work,car,445,484,1000
