pid,gender,job,occ,inc
census_0,female,work,white,low
census_1,female,work,white,low
census_2,male,work,blue,high
census_3,male,work,blue,low
census_4,male,work,blue,medium
census_5,other,education,white,medium
census_6,female,work,blue,low
census_7,male,education,white,high
census_8,female,work,blue,medium
census_9,female,work,white,low
census_10,female,work,white,low
census_11,female,work,white,medium
census_12,female,education,white,high
census_13,male,work,blue,high
census_14,male,education,blue,low
census_15,male,work,white,low
census_16,other,education,white,low
census_17,female,work,blue,medium
census_18,female,work,white,medium
census_19,other,work,blue,high
census_20,female,work,white,low
census_21,male,work,blue,medium
census_22,male,work,white,high
census_23,male,work,white,low
census_24,other,work,white,medium
census_25,female,work,blue,medium
census_26,other,work,white,high
census_27,male,education,white,medium
census_28,other,work,blue,high
census_29,male,work,white,medium
census_30,other,work,white,high
census_31,male,work,blue,low
census_32,male,education,blue,low
census_33,other,work,white,high
census_34,other,work,white,high
census_35,other,work,blue,medium
census_36,male,work,white,low
census_37,other,work,white,medium
census_38,other,work,blue,medium
census_39,female,work,white,medium
census_40,other,work,white,high
census_41,male,education,blue,high
census_42,other,work,white,low
census_43,other,work,blue,medium
census_44,male,education,white,low
census_45,male,work,blue,high
census_46,male,work,white,low
census_47,male,work,white,low
census_48,female,work,blue,high
census_49,other,work,white,low
census_50,male,education,blue,high
census_51,female,work,blue,medium
census_52,male,work,white,low
census_53,female,work,white,high
census_54,other,work,white,medium
census_55,other,work,blue,high
census_56,other,work,blue,high
census_57,female,work,blue,low
census_58,other,work,white,low
census_59,female,work,white,medium
census_60,female,education,white,medium
census_61,other,work,white,medium
census_62,male,education,blue,low
census_63,other,work,blue,high
census_64,male,work,white,high
census_65,male,work,white,high
census_66,female,work,blue,low
census_67,female,education,blue,medium
census_68,female,education,blue,medium
census_69,other,work,blue,low
census_70,female,work,white,high
census_71,other,work,white,medium
census_72,female,work,blue,medium
census_73,male,work,white,high
census_74,female,work,white,low
census_75,female,work,blue,high
census_76,female,work,blue,high
census_77,male,work,blue,high
census_78,male,work,white,high
census_79,male,work,blue,low
census_80,female,work,white,low
census_81,other,work,white,medium
census_82,other,work,white,high
census_83,male,work,white,low
census_84,male,education,white,medium
census_85,other,education,blue,low
census_86,female,work,blue,medium
census_87,other,work,white,medium
census_88,female,work,white,medium
census_89,male,work,blue,high
census_90,other,work,blue,medium
census_91,other,work,blue,medium
census_92,male,work,blue,high
census_93,other,work,blue,high
census_94,male,work,blue,low
census_95,female,work,blue,high
census_96,female,education,blue,medium
census_97,female,work,blue,medium
census_98,female,work,blue,medium
census_99,female,work,white,low
census_100,other,work,blue,medium
census_101,other,work,blue,medium
census_102,other,work,blue,medium
census_103,other,work,blue,medium
census_104,other,work,white,medium
census_105,other,education,white,medium
census_106,male,work,blue,medium
census_107,female,work,white,low
census_108,female,education,white,medium
census_109,female,work,white,low
census_110,female,education,white,high
census_111,male,work,blue,high
census_112,male,education,white,low
census_113,male,work,blue,low
census_114,other,work,blue,medium
census_115,other,work,white,low
census_116,other,work,blue,low
census_117,other,education,white,high
census_118,male,work,white,high
census_119,male,work,white,high
census_120,other,work,white,low
census_121,female,work,blue,high
census_122,other,work,blue,high
census_123,male,work,blue,high
census_124,female,education,white,low
census_125,female,education,blue,high
census_126,other,work,blue,high
census_127,other,work,blue,medium
census_128,female,work,white,high
census_129,female,work,white,high
census_130,female,work,white,low
census_131,male,work,white,low
census_132,male,work,white,low
census_133,female,education,blue,medium
census_134,female,work,white,high
census_135,other,work,blue,medium
census_136,male,education,white,low
census_137,other,work,white,low
census_138,other,work,blue,medium
census_139,other,work,blue,medium
census_140,female,work,white,medium
census_141,female,work,white,low
census_142,male,education,white,low
census_143,male,education,blue,medium
census_144,male,work,white,medium
census_145,male,education,blue,high
census_146,male,work,white,medium
census_147,other,work,white,medium
census_148,female,work,blue,medium
census_149,male,education,blue,low
census_150,female,work,white,low
census_151,other,work,white,medium
census_152,female,work,blue,high
census_153,male,work,blue,medium
census_154,female,work,white,low
census_155,male,work,blue,high
census_156,female,work,blue,high
census_157,other,work,white,medium
census_158,male,work,white,low
census_159,other,education,white,low
census_160,male,work,blue,high
census_161,female,education,white,medium
census_162,other,work,white,medium
census_163,other,work,white,low
census_164,female,work,blue,low
census_165,female,work,blue,medium
census_166,other,work,blue,medium
census_167,male,work,white,medium
census_168,female,work,blue,low
census_169,male,work,blue,high
census_170,other,work,white,low
census_171,male,work,blue,medium
census_172,female,education,white,low
census_173,other,work,white,medium
census_174,male,education,white,medium
census_175,other,work,blue,medium
census_176,female,work,white,medium
census_177,other,work,white,high
census_178,female,work,blue,medium
census_179,female,work,blue,medium
census_180,female,work,white,low
census_181,male,work,blue,low
census_182,male,education,white,medium
census_183,male,work,white,medium
census_184,other,work,blue,low
census_185,male,work,white,medium
census_186,male,work,blue,medium
census_187,female,work,white,high
census_188,other,education,white,low
census_189,other,work,blue,medium
census_190,female,work,blue,low
census_191,male,work,blue,medium
census_192,male,work,blue,low
census_193,male,work,white,high
census_194,other,education,blue,medium
census_195,other,work,white,medium
census_196,female,work,white,high
census_197,male,work,blue,medium
census_198,male,education,white,high
census_199,female,work,blue,medium
census_200,male,work,blue,medium
census_201,male,work,blue,high
census_202,male,education,blue,medium
census_203,male,education,blue,low
census_204,other,work,white,high
census_205,male,education,blue,medium
census_206,female,work,blue,medium
census_207,other,education,blue,low
census_208,male,work,white,medium
census_209,male,work,white,low
census_210,male,work,white,low
census_211,other,work,blue,high
census_212,other,work,blue,low
census_213,female,work,blue,medium
census_214,female,work,blue,low
census_215,other,work,blue,medium
census_216,female,work,blue,high
census_217,other,education,white,high
census_218,male,work,blue,high
census_219,other,education,white,low
census_220,other,work,blue,medium
census_221,female,work,blue,low
census_222,female,work,white,medium
census_223,female,work,white,high
census_224,female,work,blue,medium
census_225,other,work,white,low
census_226,other,work,white,high
census_227,other,work,white,medium
census_228,female,work,blue,high
census_229,male,work,white,medium
census_230,other,education,blue,high
census_231,other,work,white,high
census_232,male,work,white,medium
census_233,other,work,white,low
census_234,other,education,white,low
census_235,other,work,white,high
census_236,female,work,white,high
census_237,female,work,blue,medium
census_238,female,education,blue,high
census_239,other,education,blue,medium
census_240,female,work,blue,medium
census_241,other,work,white,low
census_242,male,education,white,high
census_243,female,work,white,medium
census_244,female,work,white,high
census_245,other,education,white,medium
census_246,male,work,blue,high
census_247,female,work,blue,medium
census_248,male,education,white,low
census_249,male,work,white,low
census_250,male,work,blue,low
census_251,female,work,white,low
census_252,female,work,white,medium
census_253,male,work,blue,medium
census_254,male,work,blue,high
census_255,male,work,white,low
census_256,female,education,white,high
census_257,male,work,white,high
census_258,other,work,white,high
census_259,male,work,blue,medium
census_260,female,work,white,low
census_261,other,work,white,medium
census_262,other,work,white,low
census_263,female,work,blue,high
census_264,other,work,white,high
census_265,female,work,white,low
census_266,female,work,white,low
census_267,female,education,white,low
census_268,female,work,blue,medium
census_269,male,work,white,low
census_270,male,education,blue,medium
census_271,female,work,blue,high
census_272,male,work,blue,low
census_273,female,work,blue,medium
census_274,male,work,white,medium
census_275,male,work,white,low
census_276,other,work,white,low
census_277,female,work,blue,medium
census_278,female,work,white,medium
census_279,other,work,blue,low
census_280,female,work,white,low
census_281,other,work,blue,high
census_282,male,work,white,high
census_283,other,work,white,high
census_284,other,work,white,high
census_285,male,work,white,high
census_286,female,work,blue,high
census_287,male,education,white,high
census_288,male,work,blue,medium
census_289,female,work,blue,medium
census_290,male,work,white,low
census_291,male,work,white,medium
census_292,female,work,white,medium
census_293,male,work,white,medium
census_294,female,work,blue,medium
census_295,other,work,white,medium
census_296,female,work,blue,high
census_297,male,work,blue,low
census_298,female,education,white,medium
census_299,female,work,blue,high
census_300,male,work,blue,high
census_301,male,education,blue,low
census_302,other,work,white,high
census_303,female,work,blue,high
census_304,other,work,blue,low
census_305,male,work,white,medium
census_306,male,work,white,medium
census_307,male,work,blue,low
census_308,female,work,blue,high
census_309,male,education,white,low
census_310,other,education,white,medium
census_311,other,work,blue,medium
census_312,male,education,blue,medium
census_313,male,work,blue,medium
census_314,other,work,white,medium
census_315,male,work,blue,high
census_316,female,education,white,high
census_317,male,work,white,medium
census_318,other,education,blue,high
census_319,female,work,blue,low
census_320,other,education,white,high
census_321,female,work,blue,high
census_322,female,education,blue,high
census_323,female,work,white,high
census_324,female,work,blue,medium
census_325,male,work,white,low
census_326,female,education,blue,high
census_327,male,work,blue,high
census_328,male,work,white,low
census_329,female,education,blue,high
census_330,other,work,white,high
census_331,male,work,blue,low
census_332,male,work,white,low
census_333,female,work,blue,low
census_334,other,work,white,high
census_335,male,work,white,high
census_336,female,work,blue,low
census_337,other,education,blue,medium
census_338,other,work,blue,medium
census_339,male,education,white,medium
census_340,female,work,blue,high
census_341,male,work,blue,low
census_342,male,work,blue,medium
