hid,freq,hzone,HouseholdID,SurveyYear,PSUID,W2,OutCom_B02ID,HHIncome2002_B02ID,AddressType_B01ID,Ten1_B02ID,Landlord_B01ID,ResLength_B01ID,HHoldCountry_B01ID,HHoldGOR_B02ID,HHoldNumAdults,HHoldNumChildren,HHoldNumPeople,HHoldStruct_B02ID,NumLicHolders,HHoldEmploy_B01ID,NumVehicles,NumBike,NumCar,NumMCycle,NumVanLorry,NumCarVan,WalkBus_B01ID,Getbus_B01ID,WalkRail_B01ID,WalkRailAlt_B01ID,HRPWorkStat_B02ID,HRPSEGWorkStat_B01ID,HHoldOAClass2011_B03ID,Settlement2011EW_B03ID,Settlement2011EW_B04ID
1_1_0,0.14285714285714285,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_2_0,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_2_1,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_3_0,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_3_1,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_4_0,0.14285714285714285,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_5_0,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_5_1,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_6_0,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_6_1,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_7_0,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
1_7_1,0.18571428571428572,530,1,2002,1,1,1,2,3,1,-10,3,1,7,2,2,4,5,2,5,2,0,2,0,0,2,1,5,1,-9,1,3,-10,1,1
2_1_0,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_1_1,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_1_2,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_2_0,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_2_1,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_5_0,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_5_1,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_5_2,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_7_0,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_7_1,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
2_7_2,0.25,530,2,2002,1,1,1,1,3,1,-10,8,1,7,1,0,1,1,0,1,0,0,0,0,0,0,1,5,2,-9,3,5,-10,1,1
3_1_0,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_1_1,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_2_0,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_3_0,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_3_1,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_4_0,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_4_1,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_5_0,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_5_1,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_6_0,0.14285714285714285,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
3_7_0,0.15476190476190477,530,3,2002,1,1,1,3,3,1,-10,8,1,7,3,0,3,3,1,1,2,1,1,0,1,2,1,4,3,-9,1,3,-10,1,1
